processo,duracao,status,data_distribuicao,data_decisao,camara,crime,liminar,fisico,decisao
00013168220228260000,18,1,2022-01-13,2022-01-31,9CDC,Tráfico de Drogas e Condutas Afins,sim,sim,denegado
00013185220228260000,273,0,2022-01-13,NA,NA,Roubo,não,sim,NA
00013193720228260000,60,1,2022-01-13,2022-03-14,12CDC,Latrocínio,não,sim,não conhecido
00013202220228260000,43,1,2022-01-13,2022-02-25,10CDC,Tráfico de Drogas e Condutas Afins,não,sim,não conhecido
00013228920228260000,273,0,2022-01-13,NA,14CDC,Execução penal,não,sim,NA
00013237420228260000,273,0,2022-01-13,NA,15CDC,Execução penal,não,sim,NA
00013245920228260000,35,1,2022-01-13,2022-02-17,3CDC,Tráfico de Drogas e Condutas Afins,não,sim,denegado
00013254420228260000,15,1,2022-01-13,2022-01-28,7CDC,Roubo Majorado,não,sim,denegado
00013262920228260000,55,1,2022-01-13,2022-03-09,1CDC,Crimes do Sistema Nacional de Armas,não,sim,prejudicado/extinto
00013289620228260000,32,1,2022-01-13,2022-02-14,3CDC,Tráfico de Drogas e Condutas Afins,não,sim,denegado
00013358820228260000,273,0,2022-01-13,NA,16CDC,Tráfico de Drogas e Condutas Afins,não,sim,NA
00013367320228260000,18,1,2022-01-13,2022-01-31,3CDC,Homicídio Qualificado,não,sim,não conhecido
00013375820228260000,7,1,2022-01-13,2022-01-20,6CDC,Execução penal,sim,sim,denegado
00013392820228260000,273,0,2022-01-13,NA,13CDC,Tráfico de Drogas e Condutas Afins,não,sim,NA
00013401320228260000,273,0,2022-01-13,NA,13CDC,Execução penal,não,sim,NA
00013419520228260000,34,1,2022-01-13,2022-02-16,5CDC,Tráfico de Drogas e Condutas Afins,não,sim,não conhecido
00013470520228260000,273,0,2022-01-13,NA,4CDC,Estelionato,não,sim,NA
00013497220228260000,273,0,2022-01-13,NA,15CDC,Execução penal,não,sim,NA
00013514220228260000,54,1,2022-01-13,2022-03-08,12CDC,Roubo,não,sim,denegado
00013522720228260000,13,1,2022-01-13,2022-01-26,6CDC,Tráfico de Drogas e Condutas Afins,sim,sim,denegado
00013549420228260000,36,1,2022-01-13,2022-02-18,14CDC,Homicídio Qualificado,não,sim,denegado
00013557920228260000,62,1,2022-01-13,2022-03-16,1CDC,Crime de Descumprimento de Medida Protetiva de Urgência,não,sim,denegado
